@relation training_keyboard_practica2
@attribute diff numeric
@attribute totalScore numeric
@attribute POSx numeric
@attribute POSy numeric
@attribute module numeric
@attribute angle numeric
@attribute direction {Stop,East,West,North,South}
@attribute wall_ahead {True,False}
@attribute G1_POSX numeric
@attribute G1_POSY numeric
@attribute G2_POSX numeric
@attribute G2_POSY numeric
@attribute G3_POSX numeric
@attribute G3_POSY numeric
@attribute G4_POSX numeric
@attribute G4_POSY numeric
@attribute ALIVE_G1 {True,False}
@attribute ALIVE_G2 {True,False}
@attribute ALIVE_G3 {True,False}
@attribute ALIVE_G4 {True,False}
@attribute ghost_count numeric
@attribute G1_DIST numeric
@attribute G2_DIST numeric
@attribute G3_DIST numeric
@attribute G4_DIST numeric
@attribute closest_posX numeric
@attribute closest_posY numeric
@attribute G1_CLOSE {True,False}
@attribute G2_CLOSE {True,False}
@attribute G3_CLOSE {True,False}
@attribute G4_CLOSE {True,False}
@attribute ghost_is_close {True,False}
@attribute action {Stop, East, West, North, South}
@attribute NEW_totalScore numeric
@attribute NEW_POSx numeric
@attribute NEW_POSy numeric
@attribute NEW_module numeric
@attribute NEW_angle numeric
@attribute NEW_direction {Stop,East,West,North,South}
@attribute NEW_wall_ahead {True,False}
@attribute NEW_G1_POSX numeric
@attribute NEW_G1_POSY numeric
@attribute NEW_G2_POSX numeric
@attribute NEW_G2_POSY numeric
@attribute NEW_G3_POSX numeric
@attribute NEW_G3_POSY numeric
@attribute NEW_G4_POSX numeric
@attribute NEW_G4_POSY numeric
@attribute NEW_ALIVE_G1 {True,False}
@attribute NEW_ALIVE_G2 {True,False}
@attribute NEW_ALIVE_G3 {True,False}
@attribute NEW_ALIVE_G4 {True,False}
@attribute NEW_ghost_count numeric
@attribute NEW_G1_DIST numeric
@attribute NEW_G2_DIST numeric
@attribute NEW_G3_DIST numeric
@attribute NEW_G4_DIST numeric
@attribute NEW_closest_posX numeric
@attribute NEW_closest_posY numeric
@attribute NEW_G1_CLOSE {True,False}
@attribute NEW_G2_CLOSE {True,False}
@attribute NEW_G3_CLOSE {True,False}
@attribute NEW_G4_CLOSE {True,False}
@attribute NEW_ghost_is_close {True,False}

@data
-1,156,8,3,3.0,0.0,South,False,1,1,11,3,14,7,25,18,False,True,True,True,3,0,3,10,31,11,3,False,False,False,False,False,East,155,9,3,1.0,0.0,East,False,1,1,10,3,14,7,24,18,False,True,True,True,3,0,1,9,30,10,3,False,True,False,False,True
199,155,9,3,1.0,0.0,East,False,1,1,10,3,14,7,24,18,False,True,True,True,3,0,1,9,30,10,3,False,True,False,False,True,East,354,10,3,5.66,45.0,East,False,1,1,3,1,14,7,24,18,False,False,True,True,2,0,0,8,30,14,7,False,False,False,False,False
-1,354,10,3,5.66,45.0,East,False,1,1,3,1,14,7,24,18,False,False,True,True,2,0,0,8,30,14,7,False,False,False,False,False,East,353,11,3,5.0,53.13,East,True,1,1,3,1,14,7,25,18,False,False,True,True,2,0,0,7,28,14,7,False,False,False,False,False
-1,353,11,3,5.0,53.13,East,True,1,1,3,1,14,7,25,18,False,False,True,True,2,0,0,7,28,14,7,False,False,False,False,False,Stop,352,11,3,4.24,45.0,East,False,1,1,3,1,14,6,24,18,False,False,True,True,2,0,0,6,29,14,6,False,False,False,False,False
-1,352,11,3,4.24,45.0,East,False,1,1,3,1,14,6,24,18,False,False,True,True,2,0,0,6,29,14,6,False,False,False,False,False,North,351,11,4,3.61,33.69,North,False,1,1,3,1,14,6,25,18,False,False,True,True,2,0,0,5,27,14,6,False,False,False,False,False
-1,351,11,4,3.61,33.69,North,False,1,1,3,1,14,6,25,18,False,False,True,True,2,0,0,5,27,14,6,False,False,False,False,False,North,350,11,5,3.0,0.0,North,False,1,1,3,1,14,5,25,17,False,False,True,True,2,0,0,3,26,14,5,False,False,False,False,False
-1,350,11,5,3.0,0.0,North,False,1,1,3,1,14,5,25,17,False,False,True,True,2,0,0,3,26,14,5,False,False,False,False,False,North,349,11,6,3.0,0.0,North,False,1,1,3,1,14,6,25,17,False,False,True,True,2,0,0,3,24,14,6,False,False,False,False,False
-1,349,11,6,3.0,0.0,North,False,1,1,3,1,14,6,25,17,False,False,True,True,2,0,0,3,24,14,6,False,False,False,False,False,North,348,11,7,3.16,-18.43,North,False,1,1,3,1,14,6,25,16,False,False,True,True,2,0,0,4,24,14,6,False,False,True,False,True
-1,348,11,7,3.16,-18.43,North,False,1,1,3,1,14,6,25,16,False,False,True,True,2,0,0,4,24,14,6,False,False,True,False,True,North,347,11,8,3.16,-18.43,North,False,1,1,3,1,14,7,25,17,False,False,True,True,2,0,0,4,22,14,7,False,False,True,False,True
-1,347,11,8,3.16,-18.43,North,False,1,1,3,1,14,7,25,17,False,False,True,True,2,0,0,4,22,14,7,False,False,True,False,True,North,346,11,9,2.83,-45.0,North,False,1,1,3,1,13,7,25,16,False,False,True,True,2,0,0,4,20,13,7,False,False,False,False,False
